1	0	0	14	30	0	0
2	14	0	14	30	0	0
3	28	0	14	30	0	0
4	42	0	14	30	0	0
5	0	30	14	30	0	0
6	14	30	14	30	0	0
7	28	30	14	30	0	0
8	42	30	14	30	0	0
9	0	60	14	30	0	0
10	14	60	14	30	0	0
11	28	60	14	30	0	0
12	0	90	14	30	0	0
13	14	90	14	30	0	0
14	28	90	14	30	0	0
15	42	90	14	30	0	0
16	56	90	14	30	0	0
17	70	90	14	30	0	0
18	0	120	14	30	0	0
19	14	120	14	30	0	0
20	28	120	14	30	0	0
21	44	62	8	8	1	1
22	52	62	8	8	0	0
23	64	0	14	30	0	0
24	78	0	14	30	0	0
25	92	0	14	30	0	0
26	106	0	14	30	0	0
27	0	156	16	16	0	0
28	16	156	16	16	0	0
29	32	156	16	16	0	0
30	48	156	16	16	0	0
31	64	156	16	16	0	0
32	0	172	16	16	0	0
33	16	172	16	16	0	0
34	32	172	16	16	0	0
35	48	172	16	16	0	0
36	64	172	16	16	0	0
37	0	188	16	16	0	0
38	16	188	16	16	0	0
39	32	188	16	16	0	0
40	48	188	16	16	0	0
41	64	188	16	16	0	0
42	0	204	16	16	0	0
43	16	204	16	16	0	0
44	32	204	16	16	0	0
45	48	204	16	16	0	0
46	64	204	16	16	0	0
47	42	120	32	8	0	0
48	74	120	32	8	0	0
49	106	120	32	8	0	0
50	138	120	32	8	0	0
51	42	141	32	8	0	0
52	74	141	32	8	0	0
53	106	141	32	8	0	0
54	138	141	32	8	0	0
55	138	149	32	8	0	0
56	84	88	32	32	0	0
57	116	88	32	32	0	0
58	148	88	32	32	0	0
59	63	30	14	30	0	0
60	77	30	14	30	0	0
61	91	30	14	30	0	0
62	105	30	14	30	0	0
63	119	30	14	30	0	0
64	133	30	14	30	0	0
65	147	30	14	30	0	0
66	161	30	14	30	0	0
67	42	128	5	5	0	0
68	47	128	7	7	0	0
69	54	128	11	11	0	0
70	65	128	15	13	0	0
