*Parado
!1
100	1
100	2
100	3
100	4
100	3
100	2
*Correr
!2
100	5
100	6
100	7
100	8
100	6
*Salto
!3
100	9
100	10
100	11
100	10
100	11
100	10
100	9
100	10
*Disparando
!4
50	1
50	12
50	13
50	14
50	15
50	16
250	17
*Muerte
!5
60	18
60	19
60	20
60	19
*Disparo
!6
100	21
*Disparo Enemigo
!7
100	22
*Enemigo patrulla
!8
100	23
100	24
100	25
100	26
*Bonus 1
!9
1000	27
100	28
100	29
100	30
100	31
*Bonus 2
!10
1000	32
100	33
100	34
100	35
100	36
*Bonus 3
!11
1000	37
100	38
100	39
100	40
100	41
*Bonus 4
!12
80	42
80	43
80	44
80	45
80	46
*Plataforma
!13
40	47
40	48
40	49
40	50
40	51
40	52
40	53
40	54
1500	55
*Rompible
!14
100	56
*Puerta abierta
!15
100	57
*Puerta cerrada
!16
100	58
*Enemigo dispara quieto
!17
100	59
*Enemigo dispara pre
!18
100	59
100	60
100	61
100	62
100	63
100	64
100	65
500	66
*Enemigo dispara post
!19
100	66
*Humo
!20
100	67
100	68
100	69
100	70
