*Frame 1
!1
100	1
*Frame 2
!2
100	2
*Frame 3
!3
100	3
*Frame 4
!4
100	4
*Frame 5
!5
100	5
*Frame 6
!6
100	6
*Frame 7
!7
100	7
*Frame 8
!8
100	8
*Frame 9
!9
100	9
*Frame 10
!10
100	10
*Frame 11
!11
100	11
*Frame 12
!12
100	12
*Frame 13
!13
100	13
*Frame 14
!14
100	14
*Frame 15
!15
100	15
*Frame 16
!16
100	16
*Frame 17
!17
100	17
*Frame 18
!18
100	18
*Frame 19
!19
100	19
*Frame 20
!20
100	20
*Frame 21
!21
100	21
*Frame 22
!22
100	22
*Frame 23
!23
100	23
*Frame 24
!24
100	24
*Frame 25
!25
100	25
*Frame 26
!26
100	26
*Frame 27
!27
100	27
*Frame 28
!28
100	28
*Frame 29
!29
100	29
*Frame 30
!30
100	30
*Frame 31
!31
100	31
*Frame 32
!32
100	32
*Frame 33
!33
100	33
*Frame 34
!34
100	34
*Frame 35
!35
100	35
*Frame 36
!36
100	36
*Frame 37
!37
100	37
*Frame 38
!38
100	38
*Frame 39
!39
100	39
*Frame 40
!40
100	40
*Frame 41
!41
100	41
*Frame 42
!42
100	42
*Frame 43
!43
100	43
*Frame 44
!44
100	44
*Frame 45
!45
100	45
*Frame 46
!46
100	46
*Frame 47
!47
100	47
*Frame 48
!48
100	48
*Frame 49
!49
100	49
*Frame 50
!50
100	50
*Frame 51
!51
100	51
*Frame 52
!52
100	52
*Frame 53
!53
100	53
*Frame 54
!54
100	54
